Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Día,Hora,Jornada,Resultado
Getafe,3,75,74,75,26,Celta de Vigo,0,78,78,78,41,19/02/2018,21:00,24,2
Deportivo de La Coruña,0,79,77,77,24,Espanyol,0,79,78,76,22,23/02/2018,21:00,25,1
Barcelona,6,93,84,84,62,Girona,1,79,76,75,34,24/02/2018,13:00,25,2
Leganés,0,74,75,74,21,Las Palmas,0,77,74,75,18,24/02/2018,16:15,25,1
Real Madrid,4,86,86,86,58,Alavés,0,77,75,74,22,24/02/2018,18:30,25,2
Celta de Vigo,2,78,78,78,41,Eibar,0,77,78,75,32,24/02/2018,20:45,25,2
Athletic Club,2,81,79,78,24,Málaga,1,75,75,75,15,25/02/2018,12:00,25,2
Sevilla,2,80,80,79,31,Atlético de Madrid,5,85,82,83,36,25/02/2018,16:15,25,0
Villarreal,1,79,79,80,35,Getafe,0,75,74,75,29,25/02/2018,18:30,25,2
Valencia,2,80,80,80,47,Real Sociedad,1,80,78,76,46,25/02/2018,20:45,25,2
Levante,0,75,76,75,21,Betis,2,79,79,76,41,26/02/2018,21:00,25,0
Espanyol,1,79,78,76,22,Real Madrid,0,86,86,86,62,27/02/2018,20:00,26,2
Girona,1,79,76,75,35,Celta de Vigo,0,78,78,78,43,27/02/2018,21:30,26,2
Atlético de Madrid,4,85,82,83,41,Leganés,0,74,75,74,21,28/02/2018,19:30,26,2
Getafe,3,75,74,75,29,Deportivo de La Coruña,0,79,77,77,24,28/02/2018,19:30,26,2
Athletic Club,1,81,79,78,26,Valencia,1,80,80,80,49,28/02/2018,19:30,26,1
Eibar,1,77,78,75,32,Villarreal,0,79,79,80,36,28/02/2018,21:30,26,2
Málaga,0,75,75,75,16,Sevilla,1,80,80,79,33,28/02/2018,21:30,26,0
Alavés,1,77,75,74,22,Levante,0,75,76,75,21,01/03/2018,19:30,26,2
Betis,0,79,79,76,43,Real Sociedad,0,80,78,76,47,01/03/2018,21:00,26,1
Las Palmas,1,77,74,75,18,Barcelona,1,93,84,84,68,01/03/2018,21:30,26,1
Leganés,2,74,75,74,21,Málaga,0,75,75,75,16,03/03/2018,13:00,27,2
Villarreal,0,79,79,80,36,Girona,2,79,76,75,36,03/03/2018,16:15,27,0
Deportivo de La Coruña,1,79,77,77,24,Eibar,1,77,78,75,33,03/03/2018,18:30,27,1
Real Madrid,3,86,86,86,62,Getafe,1,75,74,75,32,03/03/2018,18:30,27,2
Sevilla,2,80,80,79,34,Athletic Club,0,81,79,78,27,03/03/2018,20:45,27,2
Valencia,2,80,80,80,50,Betis,0,79,79,76,43,04/03/2018,12:00,27,2
Real Sociedad,2,80,78,76,47,Alavés,1,77,75,74,23,04/03/2018,16:15,27,2
Levante,1,75,76,75,21,Espanyol,1,79,78,76,23,04/03/2018,18:30,27,1
Barcelona,1,93,84,84,69,Atlético de Madrid,0,85,82,83,45,04/03/2018,20:45,27,2
Celta de Vigo,2,78,78,78,43,Las Palmas,1,77,74,75,19,05/03/2018,21:00,27,2
Girona,2,79,76,75,38,Deportivo de La Coruña,0,79,77,77,25,09/03/2018,21:00,28,2
Eibar,1,77,78,75,34,Real Madrid,2,86,86,86,65,10/03/2018,13:00,28,0
Sevilla,0,80,80,79,36,Valencia,2,80,80,80,52,10/03/2018,16:15,28,0
Málaga,0,75,75,75,16,Barcelona,2,93,84,84,70,10/03/2018,18:30,28,0
Getafe,0,75,74,75,33,Levante,1,75,76,75,22,10/03/2018,20:45,28,0
Las Palmas,0,77,74,75,20,Villarreal,2,79,79,80,36,11/03/2018,12:00,28,0
Espanyol,2,79,78,76,24,Real Sociedad,1,80,78,76,49,11/03/2018,16:15,28,2
Atlético de Madrid,3,85,82,83,45,Celta de Vigo,0,78,78,78,45,11/03/2018,18:30,28,2
Athletic Club,2,81,79,78,27,Leganés,0,74,75,74,23,11/03/2018,20:45,28,2
Alavés,1,77,75,74,24,Betis,3,79,79,76,43,12/03/2018,21:00,28,0
Levante,2,75,76,75,23,Eibar,1,77,78,75,35,16/03/2018,21:00,29,2
